<<<<<<< HEAD
@,10,10,5,1,Nati,CookieBaby,2
<<<<<<< HEAD

@,10,10,3,5,ss,CookieMan,2
@,10,10,5,1,mic,rolling_pin,CookieMum,1
@,10,10,3,5,CookieBaby,CookieMan,2
@,10,10,3,5,s,CookieMan,2
@,10,10,3,5,s,CookieMan,2
@,10,10,3,5,2,CookieMan,2
@,10,10,3,5,1,CookieMan,2
@,10,10,3,5,1,CookieMan,2
@,10,10,3,1,CookieMan,CookieMan,2
@,10,10,3,1,1,CookieMan,2
@,10,10,5,1,asd,1,1
@,10,10,3,1,2,2,2
=======
@,10,10,6,5,fghj,CookieMan,2
@,10,10,6,5,oiu,CookieMan,2
 
>>>>>>> 67dfc8b5df7fec97793c7c1839e2febca2bad668
@,10,10,3,5,mi,1,2
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
=======
@,10,10,4,5,Nati,CookieMan,3
>>>>>>> 9db8791ae7af687b571bcbe57816dcc880f9888d
@,10,10,5,5,1,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,,1,1
@,10,10,5,5,1,1,1
@,10,10,5,5,qwe,1,1
@,10,10,8,5,qwe,1,1
@,10,10,8,5,qw,1,1
@,10,10,8,5,qwed,1,1
@,10,10,8,5,1q,1,1
@,10,10,8,5,qwe12,1,1
@,10,10,8,5,123qwewew,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
@,10,10,8,5,1,1,1
